regiao,estado,municipio,revenda,cnpj,endereco,rua,complemento,bairro,cep,produto,data,valor_venda,valor_compra,unidade_medida,bandeira
SE,SP,AMERICANA,AUTO POSTO JARDIM DAS FLORES LTDA," 00.240.819/0001-26",RUA DAS DALIAS,145,,CIDADE JARDIM II,13467-202,ETANOL,01/12/2022,3.6,,R$ / litro,BRANCA
SE,SP,AMERICANA,AUTO POSTO JARDIM DAS FLORES LTDA," 00.240.819/0001-26",RUA DAS DALIAS,145,,CIDADE JARDIM II,13467-202,GASOLINA ADITIVADA,01/12/2022,4.7,,R$ / litro,BRANCA
SE,SP,AMERICANA,AUTO POSTO JARDIM DAS FLORES LTDA," 00.240.819/0001-26",RUA DAS DALIAS,145,,CIDADE JARDIM II,13467-202,GASOLINA,01/12/2022,4.7,,R$ / litro,BRANCA
SE,SP,AMERICANA,AUTO POSTO SIENA LTDA.," 05.087.468/0001-89",RUA DOMPEDRO II,1666,,CONSERVA,13466-000,ETANOL,01/12/2022,3.8,,R$ / litro,VIBRA ENERGIA
SE,SP,AMERICANA,AUTO POSTO SIENA LTDA.," 05.087.468/0001-89",RUA DOMPEDRO II,1666,,CONSERVA,13466-000,GASOLINA,01/12/2022,4.9,,R$ / litro,VIBRA ENERGIA
SE,SP,AMERICANA,PARK AVENIDA POSTO DE SERVIÇOS LTDA," 02.647.787/0001-03",AVENIDA BRASIL,2214,,FREZARIM,13470-000,ETANOL,01/12/2022,3.8,,R$ / litro,IPIRANGA
SE,SP,AMERICANA,PARK AVENIDA POSTO DE SERVIÇOS LTDA," 02.647.787/0001-03",AVENIDA BRASIL,2214,,FREZARIM,13470-000,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,IPIRANGA
SE,SP,AMERICANA,PARK AVENIDA POSTO DE SERVIÇOS LTDA," 02.647.787/0001-03",AVENIDA BRASIL,2214,,FREZARIM,13470-000,GASOLINA,01/12/2022,5,,R$ / litro,IPIRANGA
SE,SP,AMERICANA,COMERCIAL MAHEVI LTDA," 02.505.595/0001-62",RUA HENRIQUE  R.G.A.BRECHMACHER,999,,VALE DAS NOGUEIRAS,13473-291,GASOLINA ADITIVADA,01/12/2022,5,,R$ / litro,VIBRA ENERGIA
SE,SP,AMERICANA,COMERCIAL MAHEVI LTDA," 02.505.595/0001-62",RUA HENRIQUE  R.G.A.BRECHMACHER,999,,VALE DAS NOGUEIRAS,13473-291,GASOLINA,01/12/2022,4.8,,R$ / litro,VIBRA ENERGIA
SE,SP,AMERICANA,META & AMERICANA POSTO DE PETROLEO LTDA.," 01.189.724/0001-98",AVENIDA DE CILLO,752,,CIDADE JARDIM I,13466-550,ETANOL,01/12/2022,3.8,,R$ / litro,IPIRANGA
SE,SP,AMERICANA,META & AMERICANA POSTO DE PETROLEO LTDA.," 01.189.724/0001-98",AVENIDA DE CILLO,752,,CIDADE JARDIM I,13466-550,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,IPIRANGA
SE,SP,AMERICANA,META & AMERICANA POSTO DE PETROLEO LTDA.," 01.189.724/0001-98",AVENIDA DE CILLO,752,,CIDADE JARDIM I,13466-550,GASOLINA,01/12/2022,5,,R$ / litro,IPIRANGA
SE,SP,AMERICANA,POSTO DE PETROLEO N SRA DE FATIMA LTDA," 01.076.172/0001-01",AVENIDA N SRA DE FATIMA,935,,N SRA FATIMA,13473-291,ETANOL,01/12/2022,3.6,,R$ / litro,BRANCA
SE,SP,AMERICANA,POSTO DE PETROLEO N SRA DE FATIMA LTDA," 01.076.172/0001-01",AVENIDA N SRA DE FATIMA,935,,N SRA FATIMA,13473-291,GASOLINA ADITIVADA,01/12/2022,4.8,,R$ / litro,BRANCA
SE,SP,AMERICANA,POSTO DE PETROLEO N SRA DE FATIMA LTDA," 01.076.172/0001-01",AVENIDA N SRA DE FATIMA,935,,N SRA FATIMA,13473-291,GASOLINA,01/12/2022,4.8,,R$ / litro,BRANCA
SE,SP,BARRETOS,SALVIANO DE OLIVEIRA & CIA LTDA," 44.789.329/0001-59",RUA TRINTA E DOIS,876," ",CENTRO,14780-000,ETANOL,01/12/2022,3.9,,R$ / litro,IPIRANGA
SE,SP,BARRETOS,SALVIANO DE OLIVEIRA & CIA LTDA," 44.789.329/0001-59",RUA TRINTA E DOIS,876," ",CENTRO,14780-000,GASOLINA ADITIVADA,01/12/2022,5.4,,R$ / litro,IPIRANGA
SE,SP,BARRETOS,SALVIANO DE OLIVEIRA & CIA LTDA," 44.789.329/0001-59",RUA TRINTA E DOIS,876," ",CENTRO,14780-000,GASOLINA,01/12/2022,5.4,,R$ / litro,IPIRANGA
SE,SP,BARRETOS,AUTO POSTO AVENIDA DE BARRETOS LTDA," 53.917.506/0001-26",RUA 20 (NUMERACAO COM ZERO INICIAL),409," ",CENTRO,14780-660,ETANOL,01/12/2022,3.6,,R$ / litro,VIBRA ENERGIA
